Timeframe,Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Gross PnL %,Net PnL %,Status,Exit Reason,Regime,Regime Reason,Triggered Rules
1d,BTCUSDT,Bullish,2020-04-30T00:00:00+00:00,2020-05-07T00:00:00+00:00,8784.2,9745.786725025144,10.95,10.91,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 22.24 >= 20.00,"ema_trend:0.09, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-05-08T00:00:00+00:00,2020-05-10T00:00:00+00:00,9995.0,9252.633581415395,-7.43,-7.55,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 40.27 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-05-11T00:00:00+00:00,2020-06-01T00:00:00+00:00,8719.53,9977.940829061794,14.43,14.39,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 40.57 >= 20.00,"ema_trend:0.25, rsi_momentum:0.04"
1d,ETHUSDT,Bullish,2020-04-25T00:00:00+00:00,2020-04-29T00:00:00+00:00,187.65,218.62599347185895,16.51,16.47,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 23.75 >= 20.00,"ema_trend:-0.04, rsi_momentum:0.11, volume_confirmation:0.13"
1d,ETHUSDT,Bullish,2020-04-30T00:00:00+00:00,2020-05-04T00:00:00+00:00,215.5,195.6567340472634,-9.21,-9.33,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 30.48 >= 20.00,"ema_trend:0.16, rsi_momentum:0.20"
1d,ETHUSDT,Bullish,2020-05-05T00:00:00+00:00,2020-05-10T00:00:00+00:00,206.73,186.3852869425882,-9.84,-9.96,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 36.46 >= 20.00,"ema_trend:0.25, rsi_momentum:0.12"
1d,ETHUSDT,Bullish,2020-05-11T00:00:00+00:00,2020-05-28T00:00:00+00:00,187.52,219.92943965695883,17.28,17.24,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 32.92 >= 20.00,"ema_trend:0.25, rsi_momentum:-0.03"
1d,BNBUSDT,Bullish,2020-04-30T00:00:00+00:00,2020-05-10T00:00:00+00:00,17.333,15.838798671068623,-8.62,-8.74,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 20.28 >= 20.00,"ema_trend:0.11, rsi_momentum:0.14"
1d,BNBUSDT,Bullish,2020-05-11T00:00:00+00:00,2020-05-30T00:00:00+00:00,15.309,17.779443409292732,16.14,16.10,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 21.31 >= 20.00,"ema_trend:0.16, rsi_momentum:-0.06"
1d,XRPUSDT,Bullish,2020-05-03T00:00:00+00:00,2020-05-10T00:00:00+00:00,0.2238,0.20443456198914217,-8.65,-8.77,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 20.59 >= 20.00,"ema_trend:0.14, rsi_momentum:0.15"
1d,XRPUSDT,Bullish,2020-05-11T00:00:00+00:00,2024-04-02T00:00:00+00:00,0.1971,0.5858,197.21,197.09,break_even,force_close,BULL_TREND,EMA(9) > EMA(21) and ADX 20.73 >= 20.00,"ema_trend:0.18, rsi_momentum:-0.04"
